study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,study_design,genai_tool,source,doi,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment,blooms_category,academic_level,hedges_g_original,needs_manual_review
47,047_01,Knowledge Retention and AI Assistance,2025,Unknown (2025),Primary Outcome,cognitive,not_reported,99.0,99.0,,,,,1.0659,0.152,0.768,1.3638,1.07,,24.01,0.001,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,Cognitive dependency evidence - retention lower with AI,,,not_classified,mixed,1.0659,No
48,048_01,JMIR Medical Education Study,2024,JMIR Authors,Primary Outcome,cognitive,not_reported,525.0,526.0,,,,,,,,,,,,1.0,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,low,,,,,,,,,,,,,Medical education context,,,not_classified,mixed,,Yes
49,049_01,Morocco STEM Education Study,2025,Morocco STEM Team,Primary Outcome,cognitive,not_reported,30.0,30.0,,,,,0.606,0.2643,0.0881,1.124,0.614,,,0.001,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,STEM education in Morocco,,,not_classified,mixed,0.606,No
50,050_01,Cognitive Skills and Flipped Learning,2024,Essel et al.,Primary Outcome,cognitive,not_reported,38.0,39.0,,,,,0.5247,0.2319,0.0701,0.9793,0.53,0.06,0.01,0.0,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,C&E publication - cognitive skills,,,not_classified,mixed,0.5247,No
51,051_01,Humanities and Social Sciences Study,2024,Unknown,Primary Outcome,cognitive,not_reported,50.0,50.0,,,,,,,,,,0.599,7.039,0.0,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,low,,,,,,,,,,,,,Humanities context,,,not_classified,mixed,,Yes
52,052_01,ESP Writing with AI,2025,ESP Writing Team,Primary Outcome,behavioral,not_reported,58.0,59.0,,,,,3.8422,0.3136,3.2274,4.4569,3.8675,,40.462,1.0,0.789,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,Writing skills - ESP context,,,not_classified,mixed,3.8422,Yes
53,053_01,ChatGPT and Business Student Creativity,2025,Geng & Razali,Primary Outcome,cognitive,not_reported,267.0,267.0,,,,,0.4077,0.0874,0.2363,0.5791,0.4082,,4.63,1.0,0.04,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,"Largest sample (N=534), creativity RCT",,,not_classified,mixed,0.4077,No
54,054_01,Oxford Academic Medical Study,2024,Oxford Authors,Primary Outcome,cognitive,not_reported,57.0,58.0,,,,,,,,,,,,0.57,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,low,,,,,,,,,,,,,Medical education,,,not_classified,mixed,,Yes
55,055_01,Formative Feedback Chatbot Longitudinal Study,2024,Yin et al.,Primary Outcome,affective,not_reported,,,,,,,,,,,,2.66,0.778,0.001,,RCT,AI Chatbot,New Addition 2025,,,,,,,,,,,,low,,,,,,,,,,,,,"Longitudinal design, motivation and cognitive load",,,not_classified,mixed,,Yes
56,056_01,Harvard AI Tutoring Study,2025,Harvard Team,Primary Outcome,cognitive,not_reported,158.0,158.0,,,,,0.9777,0.1191,0.7443,1.2111,0.98,-3.4,,0.0001,,RCT,AI Tutor,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,Nature Scientific Reports publication,,,not_classified,mixed,0.9777,No
57,057_01,Epistemic Beliefs and ChatGPT Mistakes,2025,Urban et al.,Primary Outcome,cognitive,not_reported,24.0,25.0,,,,,0.6101,0.2926,0.0365,1.1836,0.62,,20.41,0.001,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,"BJET 2025, epistemic beliefs focus",,,not_classified,mixed,0.6101,No
58,058_01,Education IT Programming Study,2024,Education IT Authors,Primary Outcome,cognitive,not_reported,51.0,51.0,,,,,2.9774,0.289,2.4109,3.544,3.0,2.46,,0.0,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,Programming education - verify d=3.0,,,not_classified,mixed,2.9774,Yes
59,059_01,Mathematical Creativity AI Comparison,2025,Liu et al.,Primary Outcome,cognitive,not_reported,55.0,55.0,,,,,1.3505,0.2117,0.9356,1.7654,1.36,2.48,1.58,0.0,,RCT,Multiple AI,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,"Math creativity, multiple AI tools compared",,,not_classified,mixed,1.3505,No
60,060_01,Python Programming with AI,2025,Python Programming Team,Primary Outcome,cognitive,not_reported,39.0,40.0,,,,,0.5228,0.2289,0.0741,0.9716,0.528,2.35,9.5,0.001,0.111,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,Programming education,,,not_classified,mixed,0.5228,No
61,061_01,Medical Education RCT,2024,Gan et al.,Primary Outcome,cognitive,not_reported,62.0,63.0,,,,,2.9618,0.2601,2.452,3.4716,2.98,1.121,0.368,0.0,,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,Medical education - verify d=2.98,,,not_classified,mixed,2.9618,Yes
62,062_01,ChatGPT vs AWE Writing Study,2025,ChatGPT vs AWE Team,Primary Outcome,behavioral,not_reported,59.0,59.0,,,,,0.7054,0.1899,0.3333,1.0775,0.71,,5.87,0.0,0.1,RCT,ChatGPT,New Addition 2025,,,,,,,,,,,,medium,,,,,,,,,,,,,Writing comparison study,,,not_classified,mixed,0.7054,No
