filename,study_id,title,year,n_total,n_treatment,n_control,cohens_d,hedges_g,se_g,ci_lower,ci_upper,outcome_dimension,study_design,decision,notes
20250711-273024-ln0ri4.pdf,47,Knowledge Retention Study,2025,198,99,99,1.07,1.06,0.15,0.77,1.35,cognitive,RCT,include,Cognitive dependency evidence
jmir-2024-1-e57037.pdf,48,JMIR Medical Education,2024,110,54,56,0.40,0.39,0.19,0.02,0.77,cognitive,RCT,include,Orthopedics MCQ performance
s43031-025-00125-z.pdf,49,Morocco STEM Study,2025,60,30,30,0.61,0.60,0.26,0.08,1.11,cognitive,quasi-experimental,include,STEM education Morocco
1-s2.0-S0360131524000459-main.pdf,50,Cognitive Skills Flipped Learning,2024,77,39,38,0.53,0.52,0.23,0.07,0.97,cognitive,RCT,include,C&E publication - Essel et al.
s41599-024-02751-w.pdf,51,Humanities Study,2024,50,,,,,,,quasi-experimental,exclude,No control group - single group design
s44217-025-00700-6.pdf,52,ESP Writing Study,2025,117,117,0,,,,,behavioral,single-group,exclude,No control group - pre-post only
Can ChatGPT enhance business student creativity.pdf,53,Business Student Creativity,2025,534,267,267,0.40,0.40,0.09,0.23,0.57,cognitive,RCT,include,Geng & Razali - largest sample
qgae170.pdf,54,Oxford Medical Study,2024,115,56,59,0.21,0.21,0.19,-0.16,0.57,cognitive,RCT,include,Gazi University - clinical reasoning
Using_a_Chatbot_Formative_Feedback.pdf,55,Formative Feedback Longitudinal,2024,173,88,85,0.38,0.38,0.15,0.08,0.68,affective,quasi-experimental,include,Yin et al. - 36-day longitudinal
s41598-025-97652-6.pdf,56,Harvard AI Tutoring,2025,316,158,158,0.98,0.98,0.12,0.75,1.20,cognitive,RCT,include,Nature Scientific Reports
Brit J Educational Tech Urban.pdf,57,Epistemic Beliefs ChatGPT,2025,49,25,24,0.62,0.60,0.29,0.03,1.17,cognitive,quasi-experimental,include,Urban et al. BJET 2025
s10639-024-12705-z.pdf,58,Education IT Programming,2024,74,36,38,,,,,cognitive,quasi-experimental,exclude,Data quality issues - statistics inconsistent
Comp Applic Liu Mathematical Creativity.pdf,59,Mathematical Creativity,2025,110,55,55,1.36,1.34,0.21,0.93,1.75,cognitive,quasi-experimental,include,Liu et al. - math creativity
s10639-025-13733-z.pdf,60,Python Programming,2025,79,40,39,0.53,0.52,0.23,0.07,0.97,cognitive,quasi-experimental,include,Programming education
1-s2.0-S2666920X23000772-main.pdf,61,Medical Education Critical Thinking,2024,125,60,65,1.20,1.19,0.19,0.81,1.56,cognitive,quasi-experimental,include,Gan et al. - CORRECTED from 2.98
ChatGPT vs AWE Writing.pdf,62,ChatGPT vs AWE Writing,2025,118,59,59,0.71,0.70,0.19,0.33,1.07,behavioral,quasi-experimental,include,Writing comparison study
