Study_ID,ES_ID,Outcome_Name,Hedges_g,SE_g,ES_Type,Exclusion_Reason
1,001_01,Pre-test,-0.1055,0.2158,Pre_Test_Remove,Pre-test
2,002_02,self-efficacy,,,Post_Only_Assumed,Missing_g
2,002_03,programming interest,,,Post_Only_Assumed,Missing_g
3,003_01,Academic Writing Achievement Pre-Test,0.0364,0.2829,Pre_Test_Remove,Pre-test
6,006_02,logical coherence,1.3059,,Post_Only_Assumed,Missing_SE
6,006_03,evidence use,1.1962,,Post_Only_Assumed,Missing_SE
6,006_04,originality,1.1165,,Post_Only_Assumed,Missing_SE
6,006_05,lexical sophistication,0.9669,,Post_Only_Assumed,Missing_SE
6,006_06,syntactic complexity,0.8772,,Post_Only_Assumed,Missing_SE
6,006_07,text cohesion,1.266,,Post_Only_Assumed,Missing_SE
6,006_08,cognitive offloading behavior,,,Post_Only_Assumed,Missing_g
7,007_01,,,,Unknown,Missing_g
10,010_03,Quiz Accuracy - Socratic Tool,,,Post_Only_Assumed,Missing_g
10,010_04,Quiz Accuracy - Socratic Tool (No SAT/ACT),,,Post_Only_Assumed,Missing_g
10,010_05,Quiz Accuracy - Summary Tool,,,Post_Only_Assumed,Missing_g
11,011_01,theoretical knowledge test,3.0776,,Post_Only_Assumed,Missing_SE
11,011_02,Mini Clinical Evaluation Exercise,,,Post_Only_Assumed,Missing_g
11,011_03,AI self-efficacy,1.6662,,Post_Only_Assumed,Missing_SE
11,011_04,internet addiction,,,Post_Only_Assumed,Missing_g
11,011_05,reading motivation,1.284,,Post_Only_Assumed,Missing_SE
12,012_01,overall writing score,,,Post_Only_Assumed,Missing_g
12,012_02,content score,,,Post_Only_Assumed,Missing_g
12,012_03,organization score,,,Post_Only_Assumed,Missing_g
12,012_04,language usage score,,,Post_Only_Assumed,Missing_g
12,012_05,writing motivation score,,,Post_Only_Assumed,Missing_g
12,012_06,perceived usefulness,,,Post_Only_Assumed,Missing_g
12,012_07,perceived ease of use,,,Post_Only_Assumed,Missing_g
12,012_08,attitude toward use,,,Post_Only_Assumed,Missing_g
12,012_10,AI engagement,,,Post_Only_Assumed,Missing_g
13,013_03,complex questions performance,,,Post_Only_Assumed,Missing_g
14,014_01,academic achievement,,,Post_Only_Assumed,Missing_g
14,014_08,cognitive load,,,Post_Only_Assumed,Missing_g
14,014_09,technology acceptance - perceived usefulness,,,Post_Only_Assumed,Missing_g
14,014_10,technology acceptance - perceived ease of use,,,Post_Only_Assumed,Missing_g
15,015_01,Task Performance - Passed Tests,,,Post_Only_Assumed,Missing_g
15,015_02,Task Performance - Passed Tests,,,Post_Only_Assumed,Missing_g
16,016_01,Database Report,0.0297,,Post_Only_Assumed,Missing_SE
16,016_02,Database Exam,0.2273,,Post_Only_Assumed,Missing_SE
16,016_03,Python Report,0.0689,,Post_Only_Assumed,Missing_SE
16,016_04,Python Assignment1,0.71,,Post_Only_Assumed,Missing_SE
16,016_05,Python Assignment2,0.6691,,Post_Only_Assumed,Missing_SE
16,016_06,Python Quiz,0.2169,,Post_Only_Assumed,Missing_SE
16,016_07,Python Exam,0.3355,,Post_Only_Assumed,Missing_SE
17,017_01,Writing Score,,,Post_Only_Assumed,Missing_g
17,017_02,Syntactic Complexity,,,Post_Only_Assumed,Missing_g
17,017_03,Lexical Complexity,,,Post_Only_Assumed,Missing_g
17,017_04,Accuracy,,,Post_Only_Assumed,Missing_g
17,017_05,Fluency,,,Post_Only_Assumed,Missing_g
20,020_01,Physics Achievement - Bottom Third Subgroup,0.6665,,Post_Only_Assumed,Missing_SE
20,020_02,Physics Achievement - Medium Third Subgroup,-0.5338,,Post_Only_Assumed,Missing_SE
20,020_03,Self-Regulated Learning - Top Third Subgroup,-0.4724,,Post_Only_Assumed,Missing_SE
20,020_04,Physics Achievement - Top Third Subgroup,0.3764,,Post_Only_Assumed,Missing_SE
20,020_05,Learner Autonomy - Whole Sample,-0.2728,,Post_Only_Assumed,Missing_SE
20,020_06,Learner Autonomy - Bottom Third Subgroup,-0.3913,,Post_Only_Assumed,Missing_SE
20,020_07,Autonomy Technical-Psychological Dimension - Whole Sample,-0.2977,,Post_Only_Assumed,Missing_SE
20,020_08,Autonomy Technical-Psychological Dimension - Bottom Third Subgroup,-0.5466,,Post_Only_Assumed,Missing_SE
21,021_14,cognitive load,,,Post_Only_Assumed,Missing_g
22,022_01,Math Quiz Score Improvement - Schoolwide,,,Change_Score,Missing_g
22,022_02,Math Quiz Score Improvement - Elementary,,,Change_Score,Missing_g
22,022_03,Math Quiz Score Improvement - High School,,,Change_Score,Missing_g
22,022_04,Math Quiz Score Improvement - Grade 1,,,Change_Score,Missing_g
22,022_05,Math Quiz Score Improvement - Grade 4,,,Change_Score,Missing_g
